old,new
PRE//.TO,PRE.V
A028150.KQ,028150.KQ
3697.TW,3697.TWO
3428.TW,3428.TWO
3211.TW,3211.TWO
255440.KQ,255440.KO
FABGB.ST,FABG.ST
A009970.KQ,009970.KQ
8938.TW,8938.TWO
052270.KQ,052270.KO
A046890.KQ,046890.KQ
226320.KQ,226320.KO
8924.TW,8924.TWO
3452.TW,3452.TWO
INDUA.ST,INDU-A.ST
234080.KQ,234080.KO
280360.KQ,280360.KO
114090.KQ,114090.KO
4180.TW,4180.TWO
3548.TW,3548.TWO
8008.TW,8008.TWO
105630.KQ,105630.KO
3012.TW,3012.TWO
8155.TW,8155.TWO
6182.TW,6182.TWO
066270.KQ,066270.KO
213500.KQ,213500.KO
A072870.KQ,072870.KQ
3264.TW,3264.TWO
A068270.KQ,068270.KQ
316140.KQ,316140.KO
120110.KQ,120110.KO
5478.TW,5478.TWO
900050.KQ,900050.KO
RATIL.TA,RATI-L.TA
3218.TW,3218.TWO
298020.KQ,298020.KO
037620.KQ,037620.KO
3438.TW,3438.TWO
2446.TW,2446.TWO
251270.KQ,251270.KO
5263.TW,5263.TWO
SKISB.ST,SKIS-B.ST
6244.TW,6244.TWO
5280.TW,5280.TWO
A053800.KQ,053800.KQ
249420.KQ,249420.KO
5425.TW,5425.TWO
KEGXQ.US,KEGX.US
8121.TW,8121.TWO
A033240.KQ,033240.KQ
181710.KQ,181710.KO
A031980.KQ,031980.KQ
2854.TW,2854.TWO
4152.TW,4152.TWO
5512.TW,5512.TWO
5346.TW,5346.TWO
INVEA.ST,INVE-A.ST
ISRAL.TA,ISRA-L.TA
115390.KQ,115390.KO
2808.TW,2808.TWO
3083.TW,3083.TWO
241560.KQ,241560.KO
6561.TW,6561.TWO
3491.TW,3491.TWO
6004.TW,6004.TWO
A000140.KQ,000140.KQ
3068.TW,3068.TWO
3007.TW,3007.TWO
4107.TW,4107.TWO
A049070.KQ,049070.KQ
LIVEPOLC.MX,LIVEPOLC-1.MX
3474.TW,3474.TWO
RECIB.ST,RECI-B.ST
105560.KQ,105560.KO
2384.TW,2384.TWO
8437.TW,8437.TWO
192820.KQ,192820.KO
3573.TW,3573.TWO
6220.TW,6220.TWO
VNVSDB.ST,VNV.ST
282330.KQ,282330.KO
122900.KQ,122900.KO
180640.KQ,180640.KO
3630.TW,3630.TWO
4174.TW,4174.TWO
4947.TW,4947.TWO
6286.TW,6286.TWO
3582.TW,3582.TWO
241590.KQ,241590.KO
2396.TW,2396.TWO
RAYB.ST,RAY-B.ST
4991.TW,4991.TWO
SECTB.ST,SECT-B.ST
3131.TW,3131.TWO
A044490.KQ,044490.KQ
2381.TW,2381.TWO
6245.TW,6245.TWO
2847.TW,2847.TWO
6180.TW,6180.TWO
1785.TW,1785.TWO
A005810.KQ,005810.KQ
8050.TW,8050.TWO
6643.TW,6643.TWO
6146.TW,6146.TWO
A051370.KQ,051370.KQ
MVIRB.ST,MVIR-B.ST
286940.KQ,286940.KO
3234.TW,3234.TWO
2333.TW,2333.TWO
3638.TW,3638.TWO
3558.TW,3558.TWO
A028080.KQ,028080.KQ
139480.KQ,139480.KO
A042420.KQ,042420.KQ
112610.KQ,112610.KO
3367.TW,3367.TWO
A001880.KQ,001880.KQ
A033640.KQ,033640.KQ
3080.TW,3080.TWO
3556.TW,3556.TWO
4157.TW,4157.TWO
298000.KQ,298000.KO
ATCO A.ST,ATCO-A.ST
CURY.LSE,DC.LSE
A030530.KQ,030530.KQ
126560.KQ,126560.KO
307950.KQ,307950.KO
MCOV B.ST,MCOV-B.ST
2473.TW,2473.TWO
A060720.KQ,060720.KQ
SARE B.MX,SAREB.MX
108670.KQ,108670.KO
DEDRL.TA,DEDR-L.TA
4162.TW,4162.TWO
175330.KQ,175330.KO
4401.TW,4401.TWO
BETSB.ST,BETS-B.ST
2336.TW,2336.TWO
204320.KQ,204320.KO
2418.TW,2418.TWO
6290.TW,6290.TWO
3293.TW,3293.TWO
6223.TW,6223.TWO
A105560.KQ,105560.KO
BILIA.ST,BILI-A.ST
8383.TW,8383.TWO
8936.TW,8936.TWO
1520.TW,1520.TWO
6446.TW,6446.TWO
192530.KQ,192530.KO
161890.KQ,161890.KO
8091.TW,8091.TWO
170900.KQ,170900.KO
4126.TW,4126.TWO
NEWAB.ST,NEWA-B.ST
285130.KQ,285130.KO
A054620.KQ,054620.KQ
298050.KQ,298050.KO
3063.TW,3063.TWO
4933.TW,4933.TWO
5351.TW,5351.TWO
8255.TW,8255.TWO
3009.TW,3009.TWO
1580.TW,1580.TWO
3088.TW,3088.TWO
A065130.KQ,065130.KQ
5483.TW,5483.TWO
A036490.KQ,036490.KQ
A034230.KQ,034230.KQ
A033500.KQ,033500.KQ
5903.TW,5903.TWO
5387.TW,5387.TWO
5530.TW,5530.TWO
A003480.KQ,003480.KQ
A053660.KQ,053660.KQ
3584.TW,3584.TWO
4979.TW,4979.TWO
3095.TW,3095.TWO
5009.TW,5009.TWO
3611.TW,3611.TWO
8044.TW,8044.TWO
103140.KQ,103140.KO
TLEVICPO.MX,TLEVISACPO.MX
117930.KQ,117930.KO
272450.KQ,272450.KO
002550.KQ,002550.KO
A043650.KQ,043650.KQ
294870.KQ,294870.KO
271560.KQ,271560.KO
GDPMQ.US,GDPM.US
128940.KQ,128940.KO
CLAB.ST,CLA-B.ST
A068790.KQ,068790.KQ
SSABB.ST,SSAB-B.ST
3527.TW,3527.TWO
A011930.KQ,011930.KQ
KLOVB.ST,KLOV-B.ST
138250.KQ,138250.KO
3526.TW,3526.TWO
3552.TW,3552.TWO
NETB.ST,NET-B.ST
5287.TW,5287.TWO
3260.TW,3260.TWO
KINVB.ST,KINV-B.ST
5490.TW,5490.TWO
A035080.KQ,035080.KQ
111770.KQ,111770.KO
8078.TW,8078.TWO
RATOB.ST,RATO-B.ST
5489.TW,5489.TWO
A036930.KQ,036930.KQ
A060570.KQ,060570.KQ
185750.KQ,185750.KO
145720.KQ,145720.KO
008000.KQ,008000.KO
SITESB1.MX,SITESB-1.MX
8042.TW,8042.TWO
A047310.KQ,047310.KQ
6188.TW,6188.TWO
ATRLJB.ST,ATRLJ-B.ST
6129.TW,6129.TWO
068870.KQ,068870.KO
214320.KQ,214320.KO
6261.TW,6261.TWO
A035760.KQ,035760.KQ
A060150.KQ,060150.KQ
3534.TW,3534.TWO
MCPIQ.US,MCPI.US
267270.KQ,267270.KO
KLOVA.ST,KLOV-A.ST
210980.KQ,210980.KO
3061.TW,3061.TWO
IDEALB1.MX,IDEALB-1.MX
4129.TW,4129.TWO
2452.TW,2452.TWO
138930.KQ,138930.KO
A082850.KQ,082850.KQ
192400.KQ,192400.KO
139130.KQ,139130.KO
3176.TW,3176.TWO
A036710.KQ,036710.KQ
6160.TW,6160.TWO
1311.TW,1311.TWO
3691.TW,3691.TWO
2411.TW,2411.TWO
5349.TW,5349.TWO
1606.TW,1606.TWO
A056190.KQ,056190.KQ
2394.TW,2394.TWO
2837.TW,2837.TWO
3598.TW,3598.TWO
5466.TW,5466.TWO
004130.KQ,004130.KO
A017810.KQ,017810.KQ
281820.KQ,281820.KO
A048870.KQ,048870.KQ
9915.TW,9915.TWO
2807.TW,2807.TWO
4163.TW,4163.TWO
3658.TW,3658.TWO
2833.TW,2833.TWO
2350.TW,2350.TWO
SWECB.ST,SWEC-B.ST
ADDTB.ST,ADDT-B.ST
CNI.TO,CNI.CN
NEM.TO,NEM.V
TER.TO,TER.CN
CLC.TO,CLC.CN
AUQ.TO,AUQ.V
PRE.TO,PRE.V
CSI.TO,CSI.CN
RIO.TO,RIO.V
NEUR.CO,NTG.CO
SOO1.XETRA,SOO1.HM
ABE1.XETRA,ABE1.F
FJH.XETRA,FJH.F
GE1.XETRA,GE1.F
S2M.XETRA,S2M.MU
SKYD.XETRA,SKYD.STU
SWW.XETRA,SWW.F
KD8.XETRA,KD8.F
DRN.XETRA,DRN.F
GFJ.XETRA,GFJ.F
VIA.XETRA,VIA.F
GIB.XETRA,GIB.F
PRA.XETRA,PRA.STU
CMBT.XETRA,CMBT.F
DPB.XETRA,DPB.STU
SFX.XETRA,SFX.F
BHS.XETRA,BHS.F
CLS1.XETRA,CLS1.HM
5AB.XETRA,5AB.F
183190.KQ,183190.KO
SWB.KLSE,5211.KLSE
KPJ.KLSE,5878.KLSE
HEIM.KLSE,3255.KLSE
MI.KLSE,5286.KLSE
3152.TW,3152.TWO
8069.TW,8069.TWO
STE.TO,STE.V
SYN.TO,SYN.V
OIL.TO,OIL.CN
OPC.TO,OPC.CN
RNG.TO,RNG.V
ZEN.TO,ZEN.V
MCL.TO,MCL.CN
MAE.TO,MAE.V
MNG.TO,MNG.CN
DFS.TO,DFS.V
EZM.TO,EZM.CN
ML.TO,ML.V
CLM.TO,CLM.V
ARU.TO,ARU.V
N.TO,N.V
CFM.TO,CFM.V
BWR.TO,BWR.V
SGB.TO,SGB.V
NCX.TO,NCX.V
AVM.TO,AVM.CN
TIM.TO,TIM.V
ATY.TO,ATY.V
AXC.TO,AXC.CN
FL.TO,FL.V
TOI.XETRA,TOI.F
KBU.XETRA,KBU.HM
D9C.XETRA,D9C.F
BSK.XETRA,BSK.F
R8R.XETRA,R8R.STU
IYP.XETRA,IYP.F
079440.KQ,079440.KO
088980.KQ,088980.KO
5306.TW,5306.TWO
8086.TW,8086.TWO
6548.TW,6548.TWO
9951.TW,9951.TWO
